EVA_NR,DS100,IFOPT,NAME,VERKEHR,STATUS
8003544,ALG,de:01054:53380,Langenhorn(Schlesw),FV,
8003545,HLGM,de:03241:6631,Langenhagen Mitte,FV,
8003680,FLIS,de:06533:11504,Limburg Süd,FV,
8003701,HLIG,de:03454:8910,Lingen(Ems),FV,
8003866,HMAR,de:03452:59253,Marienhafe,FV,
8003930,TMK,de:08435:4203,Meckenbeuren,FV,
8003978,HMEP,de:03454:8779,Meppen,FV,
8004009,TME,de:08415:22008,Metzingen(Württ),FV,
8004043,MMW,de:09180:42873,Mittenwald,FV,
8004093,AMM,de:01054:62722,Morsum,FV,
8004124,RML,de:08315:6522,Müllheim(Baden),FV,
8004158,"MP,MP  S",de:09162:10,München-Pasing,FV,
8004185,MMU,de:09180:42899,Murnau,FV,
8004305,NNT,de:09373:17000,Neumarkt(Oberpf),FV,
8004343,ANB,de:01054:66926,Niebüll,FV,
8004449,HND,de:03452:67921,Norddeich,FV,
8004488,TNU,de:08116:2931,Nürtingen,FV,
8004506,MOU,de:09180:42936,Oberau,FV,
8004542,EOSD,de:05119:14190,Oberhausen-Sterkrade,FV,
8004585,MOF,de:09780:700,Oberstdorf,FV,
8004610,HOCH,de:03451:98668,Westerstede-Ocholt,FV,
8004669,AOL,de:01055:70705,Oldenburg(Holst),FV,
8004751,HPAP,de:03454:7765,Papenburg(Ems),FV,
8004760,HP,de:03157:8049,Peine,FV,
8004815,MPI,de:09172:47035,Piding,FV,
8004885,MPR,de:09187:41818,Prien a Chiemsee,FV,
8004903,APU,de:01055:74911,Puttgarden,FV,
8004965,TRB,de:08436:8000,Ravensburg,FV,
8005213,FRDH,de:06439:11034,Rüdesheim(Rhein),FV,
8005321,ASAZ,de:01055:80952,Scharbeutz,FV,
8005362,ASW,de:01059:81683,Schleswig,FV,
8005424,TSF,de:08119:7703,Schorndorf,FV,
8005556,KSIB,de:05382:55101,Siegburg/Bonn,FV,
8005561,ASID,de:01055:84555,Sierksdorf,FV,
8005609,MSF,de:09780:800,Sonthofen,FV,
8005644,RSGO,de:08326:6597,St Georgen(Schwarzw),FV,
8005661,FSTA,de:06534:11076,Stadtallendorf,FV,
8005874,ATIM,de:01055:90920,Timmendorferstrand,FV,
8005902,RTR,de:08326:6591,Triberg,FV,
8005927,MTZ,de:09188:5480,Tutzing,FV,
8005940,MUS,de:09189:41234,Übersee,FV,
8006053,TV,de:08118:5879,Vaihingen(Enz),FV,
8006076,HV,de:03361:93627,Verden(Aller),FV,
8006272,RW,de:08336:6639,Weil am Rhein,FV,
8006369,AWLA,de:01054:98523,Westerland(Sylt),FV,
8006421,RWS,de:08226:4252,Wiesloch-Walldorf,FV,
8006552,HWOB,de:03103:2015,Wolfsburg Hbf,FV,
8006713,"KLMH,KLMI",de:05316:21101,Leverkusen Mitte,FV,
8006730,MNM,de:09775:1711,Neu-Ulm,FV,
8007768,HNDM,de:03452:67927,Norddeich Mole,FV,
8010004,WA,de:12073:900340004,Angermünde,FV,
8010018,WK,de:13074:5118,Bad Kleinen,FV,
8010022,DSA,de:14628:3620,Bad Schandau,FV,
8010033,WBG,de:13073:11329,Bergen auf Rügen,FV,
8010036,BLO,de:11000:900160004,Berlin-Lichtenberg,FV,
8010050,LBT,de:15082:8010050,Bitterfeld,FV,
8010060,LB,de:12051:900275110,Brandenburg Hbf,FV,
8010066,WB,de:13072:125,Bützow,FV,
8010073,BCS,de:12052:900470000,Cottbus,FV,
8010077,LD,de:15001:8010077,Dessau Hbf,FV,
8010085,DH,de:14612:28,Dresden Hbf,FV,
8010089,DN,de:14612:16,Dresden-Neustadt,FV,
8010093,WE,de:12060:900350127,Eberswalde Hbf,FV,
8010097,UEI,de:16056:8010097,Eisenach,FV,
8010101,UE  P,de:16051:8010101,Erfurt Hbf,FV,
8010103,"LF,LF  O,LF  U",de:12062:900415345,Falkenberg(Elster),FV,
8010113,BFP,de:12053:900360000,Frankfurt(Oder),FV,
8010136,UGO,de:16067:8010136,Gotha,FV,
8010139,WGW,de:13075:1,Greifswald,FV,
8010159,LH,de:15002:8010159,Halle(Saale)Hbf,FV,
8010193,BKW,de:12061:900260001,Königs Wusterhausen,FV,
8010195,LK,de:15082:8010195,Köthen,FV,
8010203,UL,de:16061:8010203,Leinefelde,FV,
8010205,LL,de:14713:8010205,Leipzig Hbf,FV,
8010216,WL,de:13076:4782,Ludwigslust,FV,
8010217,BLB,de:12061:900261512,Lübben(Spreewald),FV,
8010220,BLN,de:12066:900435602,Lübbenau(Spreewald),FV,
8010222,LW,de:15091:8010222,Lutherstadt Wittenberg Hbf,FV,
8010224,LM,de:15003:8010224,Magdeburg Hbf,FV,
8010226,LMN,de:15003:8010226,Magdeburg-Neustadt,FV,
8010240,UNM,de:15084:8010240,Naumburg(Saale)Hbf,FV,
8010250,WNT,de:13071:80001,Neustrelitz Hbf,FV,
8010255,BHF,de:11000:900120005,Berlin Ostbahnhof,FV,
8010256,UN,de:16062:8010256,Nordhausen,FV,
8010268,WP,de:13075:6237,Pasewalk,FV,
8010282,WPL,de:12073:900340050,Prenzlau,FV,
8010297,DR,de:14627:5500,Riesa,FV,
8010304,WR,de:13003:1489,Rostock Hbf,FV,
8010309,US,de:16073:8010309,Saalfeld(Saale),FV,
8010312,USG,de:15087:8010312,Sangerhausen,FV,
8010324,WS,de:13004:9005,Schwerin Hbf,FV,
8010334,LS,de:15090:8010334,Stendal,FV,
8010338,WSR,de:13073:10401,Stralsund Hbf,FV,
8010355,WV,de:13073:2153,Velgast,FV,
8010361,WWR,de:13071:17001,Waren(Müritz),FV,
8010366,UWM,de:16055:8010366,Weimar,FV,
8010368,UW,de:15084:8010368,Weißenfels,FV,
8010382,WW,de:12070:900216026,Wittenberge,FV,
8010396,WZS,de:13075:172,Züssow,FV,
8010403,BCHB,de:11000:900024101,Berlin-Charlottenburg,FV,
8010404,BSPD,de:11000:900029101,Berlin-Spandau,FV,
8010405,"BWS,BWSS",de:11000:900053301,Berlin Wannsee,FV,
8010406,BZOO,de:11000:900023201,Berlin Zoologischer Garten,FV,
8011044,WAK,de:13075:12000,Anklam,FV,
8011051,UAP,de:16071:8011051,Apolda,FV,
8011102,BGS,de:11000:900007102,Berlin Gesundbrunnen,FV,
8011113,BPAF,de:11000:900058101,Berlin Südkreuz,FV,
8011160,BLS,de:11000:900003201,Berlin Hbf,FV,
8011191,WBI,de:13073:11740,Ostseebad Binz,FV,
8011849,UHT,de:16061:8011849,Heilbad Heiligenstadt,FV,
8011956,UJP,de:16053:8011956,Jena Paradies,FV,
8012183,LFLU,de:14730:8012183,Leipzig/Halle Flughafen,FV,
8012478,"LNW,LNW H",de:14713:8012478,Leipzig Messe,FV,
8012666,BPD,de:12054:900230999,Potsdam Hbf,FV,
8012683,WPRA,de:13073:11352,Prora,FV,
8012763,WRI,de:13073:5018,Ribnitz-Damgarten West,FV,
8013236,WWM,de:13003:1500,Warnemünde,FV,
8013470,BBRN,de:12060:900350160,Bernau(b Berlin),FV,
8030918,AWLAU,de:01054:98527,"Westerland(Sylt), Sylt Shuttle",FV,
8070003,FFLF,de:06412:11511,Frankfurt(M) Flughafen Fernbf,FV,
8070004,FFLU,de:06412:2930,Frankfurt(M) Flughafen Regionalbf,FV,
8073368,KKDT,de:05315:11950,Köln Messe/Deutz Gl.11-12,FV,
8085311,ANB A,de:01054:66963,"Niebüll, Sylt Shuttle",FV,
8098160,BL,de:11000:900003200,Berlin Hbf (tief),FV,
8098205,LL  T,de:14713:8098205,Leipzig Hbf (tief),FV,
8098261,MH  N,de:09162:100,München Hbf Gl.27-36,FV,
8098262,MH  S,de:09162:100,München Hbf Gl.5-10,FV,
